idx,x,y,w,h
0,0.0,0.0,0.04049909696983211,35181.2865497076
1,0.018999576356217532,0.0,0.01774960422751901,4491.228070175438
2,0.04524899105888649,0.0,0.0342492363263395,12475.633528265107
3,0.09424789850386854,0.0,0.032499275346161566,12725.146198830409
4,0.12524720729559188,0.0,0.010499765881067583,11228.070175438595
5,0.13424700662222125,0.0,0.020749537336395462,6986.354775828459
6,0.15574652723583582,0.0,0.015749648821601375,10230.019493177388
7,0.1719961649089166,0.0,0.03674918058373654,12475.633528265107
8,0.349242212758367,0.0,0.020999531762135166,12974.658869395711
9,0.3844914267876653,0.0,0.0172496153760396,4990.253411306043
10,0.4032410087181431,0.0,0.026249414702668956,5988.304093567251
11,0.44524007224241346,0.0,0.024999442573970437,9730.994152046784
12,0.4659896095788089,0.0,0.0517488461281188,20210.526315789473
13,0.5469878035184731,0.0,0.025499431425449845,5738.791423001949
14,0.5727372293696626,0.0,0.06349858413788491,17216.374269005846
15,0.6557353787152446,0.0,0.014499676692902853,3243.6647173489278
16,0.6854847153782694,0.0,0.016499632098820487,6986.354775828459
17,0.6977344422395149,0.0,0.03374924747486009,21458.089668615983
18,0.7279837677540191,0.0,0.03574920288077772,16717.348927875242
19,0.7582330932685233,0.0,0.03274926977190127,13473.684210526315
20,0.7927323240206026,0.0,0.058998684474570226,30690.058479532163
21,0.8744805012374859,0.0,0.011249749158286696,5489.278752436647
22,0.8794803897522799,0.0,0.05649874021717319,23953.216374269003
23,0.91322963722714,0.0,0.05274882383107762,28693.957115009744
24,0.9922278757608866,0.0,0.030749314365983636,7485.380116959064
25,1.029227050770363,0.0,0.02749938683136748,7235.867446393761
26,1.0822258690271802,0.0,0.07599830542487013,17216.374269005846
27,1.206723093045553,0.0,0.05299881825681733,17715.39961013645
28,1.2669717496488218,0.0,0.0974978260384847,55391.81286549707
29,1.368969475350621,0.0,0.02224950389083369,12475.633528265107
30,1.4049686726571384,0.0,0.016999620950299898,5738.791423001949
31,1.3589696983210329,0.0,0.08149818279114363,57637.42690058479
32,1.4429678253695735,0.0,0.010999754732546992,5489.278752436647
33,1.4439678030725325,0.0,0.1202473187807978,49902.53411306043
34,1.5069663983589379,0.0,0.02799937568284689,11727.0955165692
35,1.534715779616045,0.0,0.03974911369261299,18463.937621832356
36,1.5702149880710832,0.0,0.015249659970121966,6487.3294346978555
37,1.6964621730696339,0.0,0.014999665544382262,3992.202729044834
38,1.6879623625944837,0.0,0.11599741354322282,42417.15399610136
39,1.7549608686927247,0.0,0.0114997435840264,8732.943469785574
40,1.8362090570581284,0.0,0.01774960422751901,8732.943469785574
41,1.9012076077504516,0.0,0.11524743026600372,48405.45808966862
42,1.9544564204330086,0.0,0.02974933666302482,10230.019493177388
43,2.0219549153827288,0.0,0.031749292068942454,9481.481481481482
44,2.0554541684318495,0.0,0.02799937568284689,6237.8167641325535
45,2.1067030257084887,0.0,0.03324925862338068,16966.861598440544
46,2.183201319984838,0.0,0.07674828870208923,22955.165692007795
47,2.2461999152712435,0.0,0.05599875136569378,11976.608187134501
48,2.3084485272804303,0.0,0.026499409128408664,30191.03313840156
49,2.365947245200562,0.0,0.02349947601953221,12226.120857699805
50,2.4196960467345985,0.0,0.08924800998907445,23204.678362573097
51,2.5141939396642066,0.0,0.014999665544382262,4491.228070175438
52,2.5734426185645165,0.0,0.01199973243550581,5239.766081871345
53,2.595192133603871,0.0,0.040999085821311516,19961.01364522417
54,2.634191264019265,0.0,0.14774670561216527,62627.680311890836
55,2.8154372226805506,0.0,0.021499520613614573,5988.304093567251
56,2.8419366318089594,0.0,0.0114997435840264,4491.228070175438
57,2.829686904947714,0.0,0.056998729068652595,19461.988304093567
58,2.8906855448282016,0.0,0.013249704564204332,8732.943469785574
59,2.918434926085309,0.0,0.014749671118642557,6237.8167641325535
60,2.9686838056589893,0.0,0.011249749158286696,4990.253411306043
61,3.011932841311958,0.0,0.03699917500947625,5489.278752436647
62,3.0276824901335595,0.0,0.09374790965238913,68116.95906432749
63,3.1051807621128678,0.0,0.05299881825681733,26448.343079922026
64,3.199178666190997,0.0,0.014249682267163149,4740.740740740741
65,3.2139283373096394,0.0,0.023749470445271915,13723.196881091617
66,3.2284280140025423,0.0,0.02924934781154541,9481.481481481482
67,3.274176993912908,0.0,0.02124952618787487,17715.39961013645
68,3.2916766037146874,0.0,0.0637485785636246,21208.57699805068
69,3.3719248143771323,0.0,0.07649829427634953,36927.87524366471
70,3.3979242346540617,0.0,0.016999620950299898,6487.3294346978555
71,3.445923164396085,0.0,0.040999085821311516,18713.45029239766
72,3.464172757475083,0.0,0.009499788178108766,4990.253411306043
73,3.504921848870655,0.0,0.15549653281009612,50152.04678362573
74,3.7006674842248435,0.0,0.03924912484113358,25949.317738791422
75,3.7431665366005933,0.0,0.02399946487101162,9231.968810916178
76,3.7904154830653973,0.0,0.013499698989944036,7485.380116959064
77,3.86416383865861,0.0,0.0172496153760396,6487.3294346978555
78,3.919412606747085,0.0,0.012749715712724922,5489.278752436647
79,3.9224125398559613,0.0,0.030249325514504228,9730.994152046784
80,3.9461620103012334,0.0,0.03199928649468216,13972.709551656919
81,3.99116100693438,0.0,0.014749671118642557,3742.690058479532
82,4.0439098307654575,0.0,0.016249637673080783,8982.456140350876
83,4.060909451715758,0.0,0.014499676692902853,7235.867446393761
84,4.109908359160739,0.0,0.011749738009766105,3493.1773879142297
85,4.108158398180562,0.0,0.030749314365983636,14222.22222222222
86,4.138657718120806,0.0,0.014249682267163149,3493.1773879142297
87,4.172406965595666,0.0,0.04899890744498205,19961.01364522417
88,4.247905282169056,0.0,0.029499342237285113,18214.424951267054
89,4.306903966643627,0.0,0.03624919173225713,9481.481481481482
90,4.343153158375884,0.0,0.014249682267163149,8483.430799220272
91,4.357902829494527,0.0,0.028249370108586594,7235.867446393761
92,4.309403910901024,0.0,0.08649807130593772,30440.54580896686
93,4.395901982206961,0.0,0.11674739682044194,48405.45808966862
94,4.492149836116748,0.0,0.019999554059176347,10978.557504873294
95,4.5083994737898285,0.0,0.032499275346161566,16717.348927875242
96,4.54089874913599,0.0,0.08649807130593772,32436.647173489277
97,4.614147115877723,0.0,0.025499431425449845,10479.53216374269
98,4.616147071283641,0.0,0.12424722959263307,63126.70565302144
99,4.681145621975964,0.0,0.016499632098820487,7485.380116959064
100,4.71039496978751,0.0,0.021999509465093985,6237.8167641325535
101,4.759393877232491,0.0,0.014749671118642557,5239.766081871345
102,4.790643180449955,0.0,0.026249414702668956,8483.430799220272
103,4.814392650895226,0.0,0.16649628754264312,86580.89668615985
104,4.908390554973355,0.0,0.01949956520769694,8483.430799220272
105,4.97213913353698,0.0,0.018499587504738124,9231.968810916178
106,5.059887176971616,0.0,0.032499275346161566,10230.019493177388
107,5.123885749960981,0.0,0.013999687841423445,4990.253411306043
108,5.144635287297376,0.0,0.02399946487101162,11976.608187134501
109,5.169384735445607,0.0,0.023249481593792507,11727.0955165692
110,5.257382773305983,0.0,0.017999598653258713,6487.3294346978555
111,5.272882427701845,0.0,0.12499721286985219,52148.148148148146
112,5.349880710829673,0.0,0.033999241900599796,6986.354775828459
113,5.441628665076145,0.0,0.020999531762135166,7485.380116959064
114,5.464128163392719,0.0,0.02749938683136748,9980.506822612086
115,5.517876964926755,0.0,0.026249414702668956,26697.855750487328
116,5.541626435372026,0.0,0.07049842805859663,44413.25536062378
117,5.6286244955294435,0.0,0.05949867332604964,16467.83625730994
118,5.779621128676225,0.0,0.04074909139557181,13723.196881091617
119,5.799120693883922,0.0,0.020749537336395462,6736.8421052631575
120,5.777371178844568,0.0,0.09774782046422441,58385.964912280695
121,5.877868937991929,0.0,0.044998996633146784,27945.419103313838
122,5.911618185466789,0.0,0.03549920845503802,12974.658869395711
123,5.922617940199336,0.0,0.05449878481125555,36179.337231968806
124,6.0376153760396,0.0,0.05224883497959821,24452.24171539961
125,6.086864277910322,0.0,0.023749470445271915,8982.456140350876
126,6.112613703761511,0.0,0.01774960422751901,8982.456140350876
127,6.131863274543469,0.0,0.020249548484916054,10729.044834307992
128,6.144362995830454,0.0,0.06574853396954225,29192.982456140347
129,6.209361546522777,0.0,0.16649628754264312,51150.09746588694
130,6.2383608999085824,0.0,0.021999509465093985,9231.968810916178
131,6.280859952284333,0.0,0.01374969341568374,2994.1520467836253
132,6.326358937768958,0.0,0.012499721286985219,3992.202729044834
133,6.353608330174587,0.0,0.031749292068942454,11727.0955165692
134,6.397607349104774,0.0,0.02524943699971014,13723.196881091617
135,6.431856585431114,0.0,0.019249570781957236,5738.791423001949
136,6.452356128341769,0.0,0.03149929764320275,8732.943469785574
137,6.4873553479453285,0.0,0.0229994871680528,8982.456140350876
138,6.517604673459832,0.0,0.012749715712724922,6986.354775828459
139,6.529604405895338,0.0,0.0114997435840264,4241.715399610136
140,6.541354143905104,0.0,0.06549853954380254,18463.937621832356
141,6.57035349729091,0.0,0.023749470445271915,5489.278752436647
142,6.60435273919151,0.0,0.06249860643492609,26448.343079922026
143,6.6633514236660805,0.0,0.01674962652456019,12475.633528265107
144,6.684600949853955,0.0,0.022749492742313096,14721.247563352827
145,6.787348658832974,0.0,0.055498762514214366,15719.298245614034
146,6.86584690851524,0.0,0.03774915828669536,13224.171539961013
147,6.9503450244152605,0.0,0.009999777029588174,4491.228070175438
148,6.964094717830944,0.0,0.10024776472162145,53395.711500974656
149,7.0880919529978375,0.0,0.043749024504448265,10729.044834307992
150,7.133840932908203,0.0,0.04399901893018797,20959.06432748538
151,7.174090035452296,0.0,0.059748667751789344,38674.46393762183
